batterId,team,lastName,firstName,batHand,throwHand,freshmanYear
1255,VA,Novak,Justin,R,R,15
1254,VA,Ortiz,Devin,R,R,18
1248,VA,Richardson,Cayman,R,R,17
1256,VA,Rivoli,Brendan,L,R,18
1250,VA,Tappen,Alex,R,R,18
1249,VA,Weber,Andy,L,R,16
1257,VA,Weiller,Jack,L,R,16
1135,VT,Fernandez,Michael,,,
1130,VT,Fragale,Sam,,,
1127,VT,Horanski,Luke,,,
1134,VT,Irvine,Cam,,,
1128,VT,Freiday,Joe,,,
1133,VT,Mangrum,Stevie,,,
1129,VT,Menken,Nick,,,
1132,VT,Mundy,JD,,,
1125,VT,Owens,Jack,,,
1131,VT,Owens,Nick,,,
1126,VT,Stoffel,Tom,,,
1138,VU,Clarke,Philip,L,R,18
1139,VU,Demarco,Pat,R,R,18
1140,VU,Duvall,Ty,L,R,17
1147,VU,Gonzalez,Jayson,R,R,18
1145,VU,Grisanti,Walker,L,R,16
1142,VU,Infante,Julian,R,R,16
1144,VU,Jones,Alonzo,S,R,16
1141,VU,Kaiser,Connor,R,R,16
1136,VU,Martin,Austin,R,R,18
1137,VU,Paul,Ethan,L,R,16
1143,VU,Ray,Harrison,R,R,17
1146,VU,Scott,Stephen,L,R,16
1264,WCU,Bigbie,Justice,R,R,18
1266,WCU,Blaquiere,Cameron,R,R,15
1262,WCU,Bullock,Andrew,L,R,16
1269,WCU,Capell,Kitt,R,R,17
1267,WCU,Fricks,Bo,S,R,17
1270,WCU,Henthorne,Colton,R,R,16
1271,WCU,Hodges,Clay,L,L,15
1265,WCU,Holcomb,Spencer,R,R,15
1260,WCU,Koehler,Matthew,L,R,15
1273,WCU,Prater,Will,L,R,18
1259,WCU,Robinson,Andrew,L,R,17
1261,WCU,Robinson,Caleb,R,R,15
1272,WCU,Robinson,Luke,L,R,17
1263,WCU,Sparks,Justin,R,R,16
1268,WCU,Wilder,Immanuel,R,R,18
1151,WF,Aiello,Johnny,R,R,16
1160,WF,Diponzio,Nick,L,R,17
1159,WF,Frick,Patrick,R,R,17
1155,WF,Harvey,Logan,R,R,16
1154,WF,Lanzilli,Chris,R,R,18
1149,WF,Long,Christian,R,R,17
1157,WF,Ludowig,Michael,L,L,18
1156,WF,Mascolo,Chase,R,R,17
1153,WF,Mcnamee,Cole,R,R,18
1150,WF,Mueller,Jake,R,R,16
1152,WF,Muntz,Shane,R,R,18
1148,WF,Poteet,Dj,S,R,18
1158,WF,Seymour,Bobby,L,R,18
1166,WKU,Brown,Luke,,,
1277,WKU,Brunson,Nick,,,
1278,WKU,Butkiewicz,Colin,,,
1279,WKU,Constantine,Richard,,,
1164,WKU,Currie,Colie,,,
1162,WKU,Kraft,Steven,,,
1169,WKU,Lambert,Kevin,,,
1168,WKU,Larsen,Chase,,,
1274,WKU,Rhinesmith,Jacob,,,
1275,WKU,Robertson,Tyler,,,
1167,WKU,Ryan,Jake,,,
1276,WKU,Zuberer,Ray,,,
1284,WRST,Alders,Alex,,,
1282,WRST,Burdick,Peyton,,,
1286,WRST,Gray,Seth,,,
1289,WRST,Hamilton,Quincy,,,
1290,WRST,Harris,Zane,,,
1288,WRST,Jones,Bentley,,,
1280,WRST,Morrow,Matt,,,
1281,WRST,Orr,Jd,,,
1285,WRST,Slone,Chase,,,
1283,WRST,Snyder,Gabe,,,
1287,WRST,Weatherford,Zach,,,
1300,XU,Altenberger,Ryan,,,
1297,XU,Gallagher,Mitch,,,
1294,XU,Gellenbeck,Joe,,,
1292,XU,Givin,Chris,,,
1293,XU,Grammes,Conor,,,
1296,XU,Griffiths,Blaine,,,
1291,XU,Larue,Will,,,
1295,XU,Major,Allbry,,,
1299,XU,Monastra,Natale,,,
1298,XU,Warkentin,Matt,,,
1305,YSU,Bridis,Trey,,,
1311,YSU,Cardona,Lou,,,
1308,YSU,Caruso,Nick,,,
1301,YSU,Charles,Web,,,
1309,YSU,Dennis,Cody,,,
1306,YSU,Dickerson,Drew,,,
1304,YSU,Glenn,Blaze,,,
1307,YSU,Kendrick,Andrew,,,
1310,YSU,Labrasca,Nick,,,
1303,YSU,Lopatka,Zach,,,
1313,YSU,Massey,Nick,,,
1312,YSU,Montgomery,Tanner,,,
1314,YSU,Nasonti,Lucas,,,
1315,YSU,Trace,Austin,,,
1302,YSU,Wehler,Jeff,,,
